UE;NUMERO;TIPO;SITUACAO;REFERENCIA;CONTRATADOS;PROVENTO;DESCONTO;LIQUIDO;PENSIONISTA
UE/MS;000003;Pagamento de Mensalista ( PM ) ;Paga 000001;1/2020;9;13498.020000;489.600000;13008.420000;0.000000
UE/MS;000046;Pagamento de Mensalista ( PM ) ;Paga 000005;2/2020;12;26462.310000;1500.780000;24961.530000;0.000000
UE/MS;000073;Pagamento de Mensalista ( PM ) ;Paga 000012;3/2020;12;25896.000000;1729.500000;24166.500000;0.000000
UE/MS;000142;Pagamento de Mensalista ( PM ) ;Paga 000014;4/2020;12;25896.000000;1647.840000;24248.160000;0.000000
UE/MS;000189;Pagamento de Mensalista ( PM ) ;Paga 000019;5/2020;11;23738.000000;1510.520000;22227.480000;0.000000
UE/MS;000207;Rescisação de Mensalista ( RM ) ;Paga 000019;5/2020;1;2880.560000;289.850000;2590.710000;0.000000
UE/MS;000242;Pagamento de Mensalista ( PM ) ;Paga 000021;6/2020;11;23738.000000;1932.920000;21805.080000;0.000000
UE/MS;000270;Pagamento de Mensalista ( PM ) ;Paga 000023;7/2020;11;23738.000000;1510.520000;22227.480000;0.000000
UE/MS;000296;Pagamento de Mensalista ( PM ) ;Paga 000025;8/2020;11;23738.000000;1510.520000;22227.480000;0.000000
UE/MS;000322;Pagamento de Mensalista ( PM ) ;Paga 000027;9/2020;11;23738.000000;1510.520000;22227.480000;0.000000
UE/MS;000346;Pagamento de Mensalista ( PM ) ;Paga 000029;10/2020;10;21580.000000;1373.200000;20206.800000;0.000000
UE/MS;000368;Rescisação de Mensalista ( RM ) ;Paga 000029;10/2020;1;4306.670000;369.790000;3936.880000;0.000000
UE/MS;000380;Pagamento de Mensalista ( PM ) ;Paga 000031;11/2020;10;21580.000000;1373.200000;20206.800000;0.000000
UE/MS;000436;Pagamento de Mensalista ( PM ) ;Paga 000033;12/2020;10;21580.000000;1373.200000;20206.800000;0.000000
